compound,const,mean,stand_dev
space helmet,helmet,3.8666666666666667,1.9223002094465098
strategy game,strategy,3.7333333333333334,1.5796322658258457
strategy game,game,3.933333333333333,1.7915143899851347
street food,street,2.466666666666667,1.8464895909600492
street food,food,4.066666666666666,1.5796322658258457
box scheme,box,1.9333333333333333,1.8309508328682538
box scheme,scheme,2.6666666666666665,1.759328876372492
carnival queen,queen,2.0,1.3093073414159544
carnival queen,carnival,3.2666666666666666,1.6676187756655838
child protection,protection,4.333333333333333,1.4474937289114918
child protection,child,4.6,1.2983506020002016
data quality,data,4.266666666666667,1.2227992865708155
data quality,quality,4.0,1.3627702877384937
drama queen,queen,1.2,1.6124515496597098
drama queen,drama,3.3333333333333335,1.5886502207249789
ear protection,protection,3.933333333333333,1.7511900715418263
ear protection,ear,4.4,1.2983506020002016
emergency service,emergency,4.6,0.50709255283711
emergency service,service,3.6666666666666665,1.9148542155126762
family romance,romance,3.2666666666666666,1.6676187756655838
family romance,family,3.0,1.8516401995451028
fantasy romance,romance,3.4,1.6388149028228556
fantasy romance,fantasy,3.533333333333333,1.4573295865416045
food quality,food,4.6,0.6324555320336759
food quality,quality,4.133333333333334,1.4074631010979937
food service,food,4.533333333333333,0.7432233529572065
food service,service,4.0,1.3093073414159544
fraud scheme,fraud,4.4,0.7367883976130073
fraud scheme,scheme,3.8,1.2649110640673518
health protection,protection,3.8,1.3732131246511903
health protection,health,4.066666666666666,1.4375905768565216
health service,health,4.466666666666667,0.6399404734221844
health service,service,4.133333333333334,1.4573295865416045
ice queen,ice,1.8666666666666667,1.6846647257229665
ice queen,queen,1.6666666666666667,1.6761634196950514
image quality,image,4.466666666666667,0.8338093878327919
image quality,quality,4.0,1.3093073414159544
incentive scheme,scheme,3.4,1.5946338585572373
incentive scheme,incentive,4.133333333333334,0.7432233529572065
office romance,romance,3.8,1.5675276256394517
office romance,office,3.6,1.5023790657297036
pension scheme,pension,4.4,0.7367883976130073
pension scheme,scheme,3.466666666666667,1.505545305418162
privacy protection,protection,4.133333333333334,1.1872336794093274
privacy protection,privacy,4.333333333333333,1.2909944487358056
prom queen,prom,3.8666666666666667,1.5976172734359604
prom queen,queen,2.0,1.7320508075688772
pyramid scheme,pyramid,2.3333333333333335,1.9880595947760098
pyramid scheme,scheme,3.3333333333333335,1.8387366263150307
service quality,service,4.6,0.50709255283711
service quality,quality,4.0,1.1338934190276817
summer romance,summer,3.2,1.740279123753264
summer romance,romance,3.3333333333333335,1.9518001458970664
water quality,water,4.733333333333333,0.45773770821706344
water quality,quality,4.066666666666666,1.3870146083619754
camping area,camping,4.133333333333334,1.1254628677422756
camping area,area,3.7333333333333334,1.533747356112131
concept album,album,3.466666666666667,1.8073922282301278
concept album,concept,3.466666666666667,1.5522640914238175
confidentiality agreement,agreement,3.7333333333333334,1.869555587629877
confidentiality agreement,confidentiality,4.333333333333333,1.1126972805283737
conservation area,area,4.0,1.2535663410560174
conservation area,conservation,4.066666666666666,1.162919151265879
dining area,area,3.4,1.7647338933351153
dining area,dining,4.0,1.1952286093343936
entry barrier,entry,3.8666666666666667,1.3020130933435712
entry barrier,barrier,3.8,1.2649110640673518
family album,family,4.066666666666666,1.3345232785352157
family album,album,3.4,2.0632844828435215
glove box,box,3.066666666666667,1.6242214252050853
glove box,glove,2.2666666666666666,1.9073791542572855
language area,language,3.533333333333333,1.7674302033770737
language area,area,2.6,1.5491933384829668
language barrier,language,4.0,1.4142135623730951
language barrier,barrier,2.6,1.7647338933351153
letter box,letter,3.6666666666666665,1.5886502207249789
letter box,box,2.933333333333333,1.6676187756655838
licensing agreement,agreement,4.0,1.3627702877384937
licensing agreement,licensing,3.8,1.5675276256394517
loan agreement,agreement,3.6,1.7237832147426693
loan agreement,loan,4.0,1.558387444947959
lunch box,box,3.6666666666666665,1.5430334996209192
lunch box,lunch,3.6666666666666665,1.4474937289114918
music album,music,4.666666666666667,0.4879500364742666
music album,album,3.8666666666666667,1.6417180315870612
noise barrier,noise,3.6,1.6818357317441643
noise barrier,barrier,2.533333333333333,1.6846647257229665
pain barrier,pain,3.8,1.52127765851133
pain barrier,barrier,2.466666666666667,1.6417180315870612
parking area,parking,4.066666666666666,1.4375905768565216
parking area,area,3.466666666666667,1.8464895909600492
plea agreement,plea,3.7333333333333334,1.6676187756655838
plea agreement,agreement,3.7333333333333334,1.6242214252050853
safety barrier,safety,3.8666666666666667,1.505545305418162
safety barrier,barrier,3.4,1.6388149028228556
service agreement,service,3.4,1.8439088914585775
service agreement,agreement,3.533333333333333,1.7265434778633235
service area,area,3.2,1.8973665961010275
service area,service,3.2,1.65615734242165
studio album,studio,3.2,1.52127765851133
studio album,album,4.133333333333334,1.3557637102737476
tenancy agreement,tenancy,3.8666666666666667,1.4074631010979937
tenancy agreement,agreement,3.3333333333333335,1.759328876372492
ticket barrier,ticket,3.8,1.6124515496597098
ticket barrier,barrier,3.6,1.7237832147426693
blood loss,blood,5.0,0.0
blood loss,loss,4.533333333333333,0.990430401872025
capital loss,loss,4.333333333333333,1.2909944487358056
capital loss,capital,4.733333333333333,0.45773770821706344
chamber music,music,4.733333333333333,0.5936168397046637
chamber music,chamber,2.0,1.4142135623730951
coffee machine,machine,4.2,1.5675276256394517
coffee machine,coffee,4.8,0.5606119105813882
country music,country,2.7333333333333334,1.6676187756655838
country music,music,5.0,0.0
family movie,movie,4.666666666666667,0.8997354108424374
family movie,family,3.533333333333333,1.1254628677422756
folk music,music,4.933333333333334,0.25819888974716115
folk music,folk,2.6,1.2983506020002016
gambling loss,loss,4.4,1.1832159566199232
gambling loss,gambling,4.8,0.4140393356054125
gangster movie,gangster,4.2,0.8618916073713346
gangster movie,movie,4.933333333333334,0.25819888974716115
hair loss,hair,4.733333333333333,0.7988086367179802
hair loss,loss,4.4,1.1212238211627763
horror movie,movie,4.733333333333333,0.7988086367179802
horror movie,horror,4.466666666666667,0.7432233529572065
hype machine,machine,1.4,1.5946338585572373
hype machine,hype,3.466666666666667,1.6846647257229665
memory loss,memory,4.8,0.5606119105813882
memory loss,loss,4.266666666666667,1.3870146083619754
mood music,mood,2.8,1.5675276256394517
mood music,music,5.0,0.0
paper loss,paper,3.066666666666667,1.7511900715418263
paper loss,loss,3.8666666666666667,1.5976172734359604
propaganda machine,propaganda,4.2,1.6124515496597098
propaganda machine,machine,1.2666666666666666,1.4375905768565216
road movie,road,2.1333333333333333,1.6417180315870612
road movie,movie,4.533333333333333,1.3557637102737476
romance movie,romance,4.466666666666667,0.7432233529572065
romance movie,movie,4.8,0.5606119105813882
rowing machine,machine,3.933333333333333,1.8309508328682538
rowing machine,rowing,4.733333333333333,0.5936168397046637
sewing machine,sewing,4.933333333333334,0.25819888974716115
sewing machine,machine,4.666666666666667,0.7237468644557459
sheet music,music,4.266666666666667,1.3345232785352157
sheet music,sheet,2.933333333333333,1.709915063331955
soul music,soul,2.0,1.6035674514745464
soul music,music,4.733333333333333,0.5936168397046637
steel helmet,steel,4.4,1.4040757000349273
steel helmet,helmet,4.733333333333333,0.7988086367179802
ticket machine,ticket,4.6,1.2983506020002016
ticket machine,machine,4.2,1.6987390281365427
war movie,war,4.4,0.9856107606091623
war movie,movie,4.866666666666666,0.3518657752744984
bank card,bank,3.533333333333333,1.8464895909600492
bank card,card,3.933333333333333,1.486446705914413
case conference,conference,3.2666666666666666,1.6242214252050853
case conference,case,2.6,2.02837021134844
cup cake,cup,1.1333333333333333,1.4074631010979937
cup cake,cake,4.6,0.9102589898327995
emergency closure,closure,3.7333333333333334,1.6676187756655838
emergency closure,emergency,3.7333333333333334,1.5796322658258457
factory closure,factory,4.133333333333334,1.4074631010979937
factory closure,closure,4.133333333333334,1.3020130933435712
fruit cake,cake,4.666666666666667,0.816496580927726
fruit cake,fruit,4.0,1.0
gift card,gift,3.466666666666667,1.7265434778633235
gift card,card,4.4,1.1212238211627763
greeting card,card,4.466666666666667,0.9154754164341269
greeting card,greeting,2.7333333333333334,1.8309508328682538
identity card,card,4.266666666666667,1.2227992865708155
identity card,identity,3.7333333333333334,1.6676187756655838
library card,library,3.7333333333333334,1.709915063331955
library card,card,4.133333333333334,1.245945806357946
loyalty card,loyalty,2.933333333333333,2.016597794967223
loyalty card,card,3.8,1.6124515496597098
memory box,memory,4.266666666666667,1.2798809468443688
memory box,box,4.0,1.4142135623730951
memory card,memory,2.8,1.8973665961010275
memory card,card,3.6,1.4540583599999397
novelty cake,novelty,2.2666666666666666,1.9444671200491874
novelty cake,cake,4.466666666666667,0.9154754164341269
party conference,conference,3.8666666666666667,1.0600988273786194
party conference,party,2.466666666666667,1.7674302033770737
peace conference,peace,3.066666666666667,1.6242214252050853
peace conference,conference,4.333333333333333,1.0465362369445672
potato cake,cake,3.2,1.740279123753264
potato cake,potato,3.6,1.7647338933351153
rice cake,cake,2.6666666666666665,1.8387366263150307
rice cake,rice,3.8,1.4735767952260146
road closure,road,4.466666666666667,1.1254628677422756
road closure,closure,4.066666666666666,1.2227992865708155
selection box,box,4.4,0.828078671210825
selection box,selection,3.2,1.6124515496597098
shoe box,shoe,4.133333333333334,1.6846647257229665
shoe box,box,4.4,0.9856107606091623
suggestion box,suggestion,3.933333333333333,1.6242214252050853
suggestion box,box,4.133333333333334,1.0600988273786194
tool box,tool,4.533333333333333,0.8338093878327919
tool box,box,3.8666666666666667,1.3557637102737476
web conference,web,2.6,1.7237832147426693
web conference,conference,4.266666666666667,1.0997835284835873
wedding cake,wedding,3.933333333333333,1.7511900715418263
wedding cake,cake,4.533333333333333,1.245945806357946
art critic,art,4.666666666666667,0.6172133998483676
art critic,critic,4.6,1.2983506020002016
assessment day,day,4.133333333333334,1.5976172734359604
assessment day,assessment,4.6,1.0555973258234952
capital equipment,equipment,4.133333333333334,1.5976172734359604
capital equipment,capital,2.8666666666666667,1.8464895909600492
corn dog,dog,1.0666666666666667,1.5796322658258457
corn dog,corn,2.8666666666666667,1.995232412766087
culture critic,critic,4.4,1.2983506020002016
culture critic,culture,4.6,1.0555973258234952
dog dinner,dog,3.066666666666667,1.9444671200491874
dog dinner,dinner,3.933333333333333,1.6676187756655838
drama critic,critic,4.6,1.2983506020002016
drama critic,drama,4.266666666666667,1.4375905768565216
family day,family,4.466666666666667,0.990430401872025
family day,day,4.0,1.8126539343499315
family dinner,dinner,4.4,1.5946338585572373
family dinner,family,4.266666666666667,1.2798809468443688
family dog,family,4.133333333333334,1.4074631010979937
family dog,dog,4.8,0.4140393356054125
farewell dinner,dinner,3.8,1.820517979665599
farewell dinner,farewell,4.6,1.1212238211627763
field day,field,1.9333333333333333,2.051712409068047
field day,day,3.3333333333333335,2.193062655175134
food critic,critic,4.533333333333333,1.3020130933435712
food critic,food,4.733333333333333,1.0327955589886446
gala dinner,gala,3.6666666666666665,1.8387366263150307
gala dinner,dinner,4.466666666666667,1.1872336794093274
game day,game,4.4,0.9102589898327995
game day,day,4.2,1.5675276256394517
independence day,day,4.2,1.5675276256394517
independence day,independence,4.533333333333333,1.1254628677422756
movie critic,critic,4.6,1.2983506020002016
movie critic,movie,4.666666666666667,1.0465362369445672
music critic,music,4.666666666666667,1.0465362369445672
music critic,critic,4.533333333333333,1.3020130933435712
puppy dog,dog,4.466666666666667,1.3020130933435712
puppy dog,puppy,4.4,1.3522468075656264
sausage dog,sausage,1.8666666666666667,1.8464895909600492
sausage dog,dog,4.066666666666666,1.7915143899851347
school dinner,school,4.466666666666667,1.245945806357946
school dinner,dinner,3.8666666666666667,1.6417180315870612
service dog,service,4.066666666666666,1.5796322658258457
service dog,dog,4.533333333333333,1.3557637102737476
sheep dog,sheep,2.8,1.820517979665599
sheep dog,dog,4.066666666666666,1.7915143899851347
wedding day,wedding,4.733333333333333,1.0327955589886446
wedding day,day,4.133333333333334,1.6846647257229665
wine dinner,wine,3.933333333333333,1.3870146083619754
wine dinner,dinner,3.533333333333333,1.88477610139267
baby shoe,baby,3.933333333333333,1.9073791542572855
baby shoe,shoe,4.2,1.740279123753264
ballet shoe,shoe,4.6,1.2983506020002016
ballet shoe,ballet,4.6,0.828078671210825
boat shoe,shoe,3.8,2.042407542932745
boat shoe,boat,2.066666666666667,1.9444671200491874
boat trip,trip,4.133333333333334,1.3020130933435712
boat trip,boat,4.866666666666666,0.3518657752744984
brain surgery,surgery,4.866666666666666,0.5163977794943223
brain surgery,brain,4.933333333333334,0.25819888974716115
bus station,station,4.6,0.7367883976130073
bus station,bus,4.6,1.1212238211627763
ego trip,ego,3.933333333333333,1.9073791542572855
ego trip,trip,1.8666666666666667,1.6846647257229665
emergency surgery,emergency,4.533333333333333,1.0600988273786194
emergency surgery,surgery,4.733333333333333,0.7988086367179802
eye surgery,eye,4.6,1.2983506020002016
eye surgery,surgery,4.466666666666667,1.245945806357946
field trip,trip,4.2,1.2649110640673518
field trip,field,2.7333333333333334,1.5796322658258457
guilt trip,guilt,4.0,1.927248223318863
guilt trip,trip,1.4,1.5023790657297036
heart surgery,surgery,4.866666666666666,0.3518657752744984
heart surgery,heart,4.666666666666667,1.0465362369445672
hill station,station,3.2,1.8973665961010275
hill station,hill,2.933333333333333,1.9444671200491874
horse shoe,horse,4.6,0.828078671210825
horse shoe,shoe,4.4,1.2983506020002016
radio station,radio,4.666666666666667,1.0465362369445672
radio station,station,3.8,1.2071217242444348
road trip,road,4.333333333333333,1.1126972805283737
road trip,trip,4.266666666666667,1.0327955589886446
room service,room,4.066666666666666,1.6242214252050853
room service,service,4.466666666666667,1.1872336794093274
safety shoe,safety,3.933333333333333,1.486446705914413
safety shoe,shoe,4.666666666666667,1.0465362369445672
school trip,trip,4.0,1.647508942095828
school trip,school,4.333333333333333,1.4474937289114918
service station,service,4.4,1.0555973258234952
service station,station,4.2,1.01418510567422
space station,space,4.666666666666667,0.816496580927726
space station,station,4.533333333333333,0.8338093878327919
tea service,service,3.8,2.1111946516469904
tea service,tea,4.133333333333334,1.3020130933435712
tennis shoe,shoe,4.133333333333334,1.6846647257229665
tennis shoe,tennis,3.7333333333333334,1.4375905768565216
tree surgery,surgery,3.8,1.2649110640673518
tree surgery,tree,3.933333333333333,1.9073791542572855
way station,way,2.8,1.6987390281365427
way station,station,3.8,1.6987390281365427
ballot paper,ballot,4.2,1.424279266355945
ballot paper,paper,3.933333333333333,1.7511900715418263
construction paper,paper,4.333333333333333,1.4474937289114918
construction paper,construction,2.066666666666667,1.8309508328682538
consultation paper,consultation,3.066666666666667,1.6676187756655838
consultation paper,paper,3.8666666666666667,1.7674302033770737
consumer protection,protection,4.0,1.1952286093343936
consumer protection,consumer,4.333333333333333,1.2344267996967353
dinner party,party,4.6,0.6324555320336759
dinner party,dinner,4.533333333333333,0.9154754164341269
emotion processing,processing,3.2666666666666666,1.486446705914413
emotion processing,emotion,4.0,1.558387444947959
farewell party,farewell,4.2,1.3201731488169053
farewell party,party,4.466666666666667,0.8338093878327919
food photography,photography,4.666666666666667,0.7237468644557459
food photography,food,4.466666666666667,1.3020130933435712
food processing,food,4.6,0.7367883976130073
food processing,processing,3.7333333333333334,1.6676187756655838
hen party,party,4.333333333333333,1.1751393027860062
hen party,hen,1.2,1.3732131246511903
identity paper,identity,3.7333333333333334,1.6676187756655838
identity paper,paper,4.133333333333334,1.3557637102737476
image processing,image,4.533333333333333,0.9154754164341269
image processing,processing,4.266666666666667,1.0997835284835873
macro photography,macro,3.1333333333333333,1.8464895909600492
macro photography,photography,4.466666666666667,1.3020130933435712
material processing,material,4.0,1.6035674514745464
material processing,processing,4.466666666666667,0.8338093878327919
portrait photography,photography,4.733333333333333,0.5936168397046637
portrait photography,portrait,4.4,0.7367883976130073
rice paper,rice,3.7333333333333334,1.9073791542572855
rice paper,paper,4.333333333333333,0.9759000729485332
ruling party,party,2.7333333333333334,1.9073791542572855
ruling party,ruling,3.8,1.5675276256394517
spirit photography,spirit,2.466666666666667,1.6417180315870612
spirit photography,photography,4.066666666666666,1.4375905768565216
street party,street,4.466666666666667,0.9154754164341269
street party,party,4.666666666666667,0.7237468644557459
street photography,photography,4.733333333333333,0.45773770821706344
street photography,street,3.933333333333333,1.2798809468443688
tea party,party,4.2,1.082325538564332
tea party,tea,4.0,1.3093073414159544
toilet paper,toilet,4.066666666666666,1.5796322658258457
toilet paper,paper,4.8,0.4140393356054125
wedding party,party,4.2,1.2071217242444348
wedding party,wedding,4.666666666666667,0.816496580927726
wedding photography,wedding,4.6,0.7367883976130073
wedding photography,photography,4.8,0.5606119105813882
word processing,word,4.0,1.4142135623730951
word processing,processing,4.133333333333334,1.1254628677422756
